season_id,week_id,celebrity_name,placement_final,is_male,age,age_squared,age_centered,age_bucket_young,age_bucket_mid,age_bucket_old,industry_category,is_international,log_us_state_pop,ballroom_partner,"industry_Business, Controversial & Special Roles","industry_Fashion, Beauty & Modeling","industry_Media, News & Communication",industry_Music & Dance,industry_Performing Arts & Entertainment,industry_Public Service & Specialized Professions,industry_Sports & Physical Performance,celebrity_previous_seasons,partner_previous_seasons,celebrity_gender,ballroom_partner_gender,judge1_score,judge2_score,judge3_score,judge4_score,result_status,pro_id,pro_prev_wins,pro_avg_rank,same_sex_pair,judge_score_raw,z_score,prev_z_score,score_trend,is_top_score,perfect_score,judge_score_stddev,judge_rank,is_bottom_two,times_in_bottom,cumulative_avg_score,teflon_factor,weeks_survived,season_era,voting_rule_type,judge_save_active,elimination_count,rule_method,celeb_idx,pro_idx,week_idx,season_idx,judge_score_pct,judge_rank_score
1,1,Evander Holyfield,5,1,42,1764,3.213776722090259,0,1,0,Sports & Physical Performance,0,6.708050770585911,Edyta Sliwinska,False,False,False,False,False,False,True,0,2,male,female,5.0,7.0,6.0,,0,20,0,6.814726840855107,0,18.0,-0.06140634384863477,0.0,-0.06140634384863477,0,0,0.816496580927726,4.0,0,0.0,0.0,0,1,1,0,0,0,0,121,19,0,0,0.9,0.4
1,2,Evander Holyfield,5,1,42,1764,3.213776722090259,0,1,0,Sports & Physical Performance,0,6.708050770585911,Edyta Sliwinska,False,False,False,False,False,False,True,0,2,male,female,5.0,4.0,5.0,,0,20,0,6.814726840855107,0,14.0,-1.3870232926631432,-0.06140634384863477,-1.3256169488145084,0,0,0.4714045207910317,6.0,1,0.0,18.0,0,2,1,0,0,1,0,121,19,1,0,0.5384615384615384,0.0
1,3,Evander Holyfield,5,1,42,1764,3.213776722090259,0,1,0,Sports & Physical Performance,0,6.708050770585911,Edyta Sliwinska,False,False,False,False,False,False,True,0,2,male,female,5.0,4.0,4.0,,1,20,0,6.814726840855107,0,13.0,-1.649929455000344,-1.3870232926631432,-0.2629061623372009,0,0,0.4714045207910317,5.0,1,1.0,16.0,0,3,1,0,0,1,0,121,19,2,0,0.5,0.0
1,1,Joey McIntyre,3,1,32,1024,-6.786223277909741,0,1,0,Music & Dance,0,6.848944409444203,Ashly DelGrosso,False,False,False,True,False,False,False,0,4,male,female,7.0,7.0,6.0,,0,8,0,6.814726840855107,0,20.0,0.6754697823349772,0.0,0.6754697823349772,1,0,0.4714045207910317,1.0,0,0.0,0.0,0,1,1,0,0,0,0,188,7,0,0,1.0,1.0
1,2,Joey McIntyre,3,1,32,1024,-6.786223277909741,0,1,0,Music & Dance,0,6.848944409444203,Ashly DelGrosso,False,False,False,True,False,False,False,0,4,male,female,8.0,7.0,6.0,,0,8,0,6.814726840855107,0,21.0,0.18743558008961364,0.6754697823349772,-0.4880342022453636,0,0,0.816496580927726,3.0,0,0.0,20.0,0,2,1,0,0,1,0,188,7,1,0,0.8076923076923077,0.6
1,3,Joey McIntyre,3,1,32,1024,-6.786223277909741,0,1,0,Music & Dance,0,6.848944409444203,Ashly DelGrosso,False,False,False,True,False,False,False,0,4,male,female,7.0,7.0,8.0,,0,8,0,6.814726840855107,0,22.0,0.1609687273171069,0.18743558008961364,-0.026466852772506738,0,0,0.4714045207910317,3.0,0,0.0,20.5,0,3,1,0,0,1,0,188,7,2,0,0.8461538461538461,0.5
1,4,Joey McIntyre,3,1,32,1024,-6.786223277909741,0,1,0,Music & Dance,0,6.848944409444203,Ashly DelGrosso,False,False,False,True,False,False,False,0,4,male,female,7.0,6.0,7.0,,0,8,0,6.814726840855107,0,20.0,-1.0190493307301363,0.1609687273171069,-1.1800180580472432,0,0,0.4714045207910317,4.0,1,0.0,21.0,0,4,1,0,0,1,0,188,7,3,0,0.7692307692307693,0.0
1,5,Joey McIntyre,3,1,32,1024,-6.786223277909741,0,1,0,Music & Dance,0,6.848944409444203,Ashly DelGrosso,False,False,False,True,False,False,False,0,4,male,female,8.5,7.0,7.0,,0,8,0,6.814726840855107,0,22.5,-0.7758801774444576,-1.0190493307301363,0.24316915328567867,0,0,0.7071067811865476,3.0,1,1.0,20.75,1,5,1,0,0,0,0,188,7,4,0,0.8333333333333334,0.0
1,1,John O'Hurley,2,1,50,2500,11.213776722090259,0,1,0,Performing Arts & Entertainment,0,6.144078091843605,Charlotte Jorgensen,False,False,False,False,True,False,False,0,0,male,female,7.0,7.0,6.0,,0,12,0,6.814726840855107,0,20.0,0.6754697823349772,0.0,0.6754697823349772,1,0,0.4714045207910317,1.0,0,0.0,0.0,0,1,1,0,0,0,0,189,11,0,0,1.0,1.0
1,2,John O'Hurley,2,1,50,2500,11.213776722090259,0,1,0,Performing Arts & Entertainment,0,6.144078091843605,Charlotte Jorgensen,False,False,False,False,True,False,False,0,0,male,female,8.0,9.0,9.0,,0,12,0,6.814726840855107,0,26.0,1.3120490606272972,0.6754697823349772,0.63657927829232,1,0,0.4714045207910317,1.0,0,0.0,20.0,0,2,1,0,0,1,0,189,11,1,0,1.0,1.0
